Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,4:37.27,1:09.32,110.0,-1:32.27,-1:53.07
39,4:57.76,1:14.44,102.4,-1:52.76,-1:58.19
38,5:00.09,1:15.02,101.6,-1:55.09,-1:58.77
37,5:02.50,1:15.63,100.8,-1:57.50,-1:59.38
36,5:05.00,1:16.25,100.0,0:00.00,0:00.00
35,5:07.59,1:16.90,99.2,0:02.59,0:00.65
34,5:10.28,1:17.57,98.3,0:05.28,0:01.32
33,5:13.07,1:18.27,97.4,0:08.07,0:02.02
32,5:15.97,1:18.99,96.5,0:10.97,0:02.74
31,5:18.99,1:19.75,95.6,0:13.99,0:03.50
30,5:22.15,1:20.54,94.7,0:17.15,0:04.29
29,5:25.44,1:21.36,93.7,0:20.44,0:05.11
28,5:28.88,1:22.22,92.7,0:23.88,0:05.97
27,5:32.49,1:23.12,91.7,0:27.49,0:06.87
26,5:36.28,1:24.07,90.7,0:31.28,0:07.82
25,5:40.26,1:25.06,89.6,0:35.26,0:08.81
24,5:44.45,1:26.11,88.5,0:39.45,0:09.86
23,5:48.88,1:27.22,87.4,0:43.88,0:10.97
22,5:53.56,1:28.39,86.3,0:48.56,0:12.14
21,5:58.53,1:29.63,85.1,0:53.53,0:13.38
20,6:03.82,1:30.95,83.8,0:58.82,0:14.70
19,6:09.46,1:32.36,82.6,1:04.46,0:16.11
18,6:15.50,1:33.87,81.2,1:10.50,0:17.62
17,6:21.99,1:35.50,79.8,1:16.99,0:19.25
16,6:29.00,1:37.25,78.4,1:24.00,0:21.00
