Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,5:41.82,1:25.45,110.0,-1:25.82,-1:51.45
39,6:07.08,1:31.77,102.4,-1:51.08,-1:57.77
38,6:09.95,1:32.49,101.6,-1:53.95,-1:58.49
37,6:12.92,1:33.23,100.8,-1:56.92,-1:59.23
36,6:16.00,1:34.00,100.0,0:00.00,0:00.00
35,6:19.19,1:34.80,99.2,0:03.19,0:00.80
34,6:22.50,1:35.63,98.3,0:06.50,0:01.63
33,6:25.94,1:36.49,97.4,0:09.94,0:02.49
32,6:29.52,1:37.38,96.5,0:13.52,0:03.38
31,6:33.25,1:38.31,95.6,0:17.25,0:04.31
30,6:37.14,1:39.28,94.7,0:21.14,0:05.28
29,6:41.20,1:40.30,93.7,0:25.20,0:06.30
28,6:45.44,1:41.36,92.7,0:29.44,0:07.36
27,6:49.89,1:42.47,91.7,0:33.89,0:08.47
26,6:54.56,1:43.64,90.7,0:38.56,0:09.64
25,6:59.47,1:44.87,89.6,0:43.47,0:10.87
24,7:04.63,1:46.16,88.5,0:48.63,0:12.16
23,7:10.09,1:47.52,87.4,0:54.09,0:13.52
22,7:15.86,1:48.97,86.3,0:59.86,0:14.97
21,7:21.99,1:50.50,85.1,1:05.99,0:16.50
20,7:28.51,1:52.13,83.8,1:12.51,0:18.13
19,7:35.46,1:53.87,82.6,1:19.46,0:19.87
18,7:42.91,1:55.73,81.2,1:26.91,0:21.73
17,7:50.92,1:57.73,79.8,1:34.92,0:23.73
16,7:59.56,1:59.89,78.4,1:43.56,0:25.89
