Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,5:56.36,1:29.09,110.0,-1:24.36,-1:51.09
39,6:22.70,1:35.67,102.4,-1:50.70,-1:57.67
38,6:25.69,1:36.42,101.6,-1:53.69,-1:58.42
37,6:28.79,1:37.20,100.8,-1:56.79,-1:59.20
36,6:32.00,1:38.00,100.0,0:00.00,0:00.00
35,6:35.33,1:38.83,99.2,0:03.33,0:00.83
34,6:38.78,1:39.69,98.3,0:06.78,0:01.69
33,6:42.37,1:40.59,97.4,0:10.37,0:02.59
32,6:46.10,1:41.52,96.5,0:14.10,0:03.52
31,6:49.99,1:42.50,95.6,0:17.99,0:04.50
30,6:54.04,1:43.51,94.7,0:22.04,0:05.51
29,6:58.27,1:44.57,93.7,0:26.27,0:06.57
28,7:02.70,1:45.67,92.7,0:30.70,0:07.67
27,7:07.33,1:46.83,91.7,0:35.33,0:08.83
26,7:12.20,1:48.05,90.7,0:40.20,0:10.05
25,7:17.32,1:49.33,89.6,0:45.32,0:11.33
24,7:22.70,1:50.68,88.5,0:50.70,0:12.68
23,7:28.39,1:52.10,87.4,0:56.39,0:14.10
22,7:34.41,1:53.60,86.3,1:02.41,0:15.60
21,7:40.80,1:55.20,85.1,1:08.80,0:17.20
20,7:47.59,1:56.90,83.8,1:15.59,0:18.90
19,7:54.84,1:58.71,82.6,1:22.84,0:20.71
18,8:02.61,2:00.65,81.2,1:30.61,0:22.65
17,8:10.96,2:02.74,79.8,1:38.96,0:24.74
16,8:19.97,2:04.99,78.4,1:47.97,0:26.99
