Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,5:07.27,1:16.82,110.0,-1:29.27,-1:52.32
39,5:29.98,1:22.50,102.4,-1:51.98,-1:58.00
38,5:32.56,1:23.14,101.6,-1:54.56,-1:58.64
37,5:35.23,1:23.81,100.8,-1:57.23,-1:59.31
36,5:38.00,1:24.50,100.0,0:00.00,0:00.00
35,5:40.87,1:25.22,99.2,0:02.87,0:00.72
34,5:43.85,1:25.96,98.3,0:05.85,0:01.46
33,5:46.94,1:26.73,97.4,0:08.94,0:02.23
32,5:50.16,1:27.54,96.5,0:12.16,0:03.04
31,5:53.51,1:28.38,95.6,0:15.51,0:03.88
30,5:57.00,1:29.25,94.7,0:19.00,0:04.75
29,6:00.65,1:30.16,93.7,0:22.65,0:05.66
28,6:04.47,1:31.12,92.7,0:26.47,0:06.62
27,6:08.47,1:32.12,91.7,0:30.47,0:07.62
26,6:12.66,1:33.17,90.7,0:34.66,0:08.67
25,6:17.07,1:34.27,89.6,0:39.07,0:09.77
24,6:21.72,1:35.43,88.5,0:43.72,0:10.93
23,6:26.62,1:36.66,87.4,0:48.62,0:12.16
22,6:31.81,1:37.95,86.3,0:53.81,0:13.45
21,6:37.32,1:39.33,85.1,0:59.32,0:14.83
20,6:43.18,1:40.79,83.8,1:05.18,0:16.29
19,6:49.43,1:42.36,82.6,1:11.43,0:17.86
18,6:56.13,1:44.03,81.2,1:18.13,0:19.53
17,7:03.32,1:45.83,79.8,1:25.32,0:21.33
16,7:11.09,1:47.77,78.4,1:33.09,0:23.27
