Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,4:49.09,1:12.27,110.0,-1:31.09,-1:52.77
39,5:10.45,1:17.61,102.4,-1:52.45,-1:58.11
38,5:12.88,1:18.22,101.6,-1:54.88,-1:58.72
37,5:15.40,1:18.85,100.8,-1:57.40,-1:59.35
36,5:18.00,1:19.50,100.0,0:00.00,0:00.00
35,5:20.70,1:20.17,99.2,0:02.70,0:00.67
34,5:23.50,1:20.87,98.3,0:05.50,0:01.37
33,5:26.41,1:21.60,97.4,0:08.41,0:02.10
32,5:29.44,1:22.36,96.5,0:11.44,0:02.86
31,5:32.59,1:23.15,95.6,0:14.59,0:03.65
30,5:35.88,1:23.97,94.7,0:17.88,0:04.47
29,5:39.31,1:24.83,93.7,0:21.31,0:05.33
28,5:42.90,1:25.73,92.7,0:24.90,0:06.23
27,5:46.66,1:26.67,91.7,0:28.66,0:07.17
26,5:50.61,1:27.65,90.7,0:32.61,0:08.15
25,5:54.76,1:28.69,89.6,0:36.76,0:09.19
24,5:59.13,1:29.78,88.5,0:41.13,0:10.28
23,6:03.75,1:30.94,87.4,0:45.75,0:11.44
22,6:08.63,1:32.16,86.3,0:50.63,0:12.66
21,6:13.81,1:33.45,85.1,0:55.81,0:13.95
20,6:19.32,1:34.83,83.8,1:01.32,0:15.33
19,6:25.20,1:36.30,82.6,1:07.20,0:16.80
18,6:31.50,1:37.88,81.2,1:13.50,0:18.38
17,6:38.28,1:39.57,79.8,1:20.28,0:20.07
16,6:45.58,1:41.40,78.4,1:27.58,0:21.90
