Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,6:10.91,1:32.73,110.0,-1:22.91,-1:50.73
39,6:38.32,1:39.58,102.4,-1:50.32,-1:57.58
38,6:41.44,1:40.36,101.6,-1:53.44,-1:58.36
37,6:44.66,1:41.17,100.8,-1:56.66,-1:59.17
36,6:48.00,1:42.00,100.0,0:00.00,0:00.00
35,6:51.46,1:42.87,99.2,0:03.46,0:00.87
34,6:55.06,1:43.76,98.3,0:07.06,0:01.76
33,6:58.79,1:44.70,97.4,0:10.79,0:02.70
32,7:02.67,1:45.67,96.5,0:14.67,0:03.67
31,7:06.72,1:46.68,95.6,0:18.72,0:04.68
30,7:10.94,1:47.73,94.7,0:22.94,0:05.73
29,7:15.34,1:48.84,93.7,0:27.34,0:06.84
28,7:19.95,1:49.99,92.7,0:31.95,0:07.99
27,7:24.78,1:51.19,91.7,0:36.78,0:09.19
26,7:29.84,1:52.46,90.7,0:41.84,0:10.46
25,7:35.17,1:53.79,89.6,0:47.17,0:11.79
24,7:40.77,1:55.19,88.5,0:52.77,0:13.19
23,7:46.69,1:56.67,87.4,0:58.69,0:14.67
22,7:52.96,1:58.24,86.3,1:04.96,0:16.24
21,7:59.61,1:59.90,85.1,1:11.61,0:17.90
20,8:06.68,2:01.67,83.8,1:18.68,0:19.67
19,8:14.23,2:03.56,82.6,1:26.23,0:21.56
18,8:22.31,2:05.58,81.2,1:34.31,0:23.58
17,8:30.99,2:07.75,79.8,1:42.99,0:25.75
16,8:40.37,2:10.09,78.4,1:52.37,0:28.09
