Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,5:32.73,1:23.18,110.0,-1:26.73,-1:51.68
39,5:57.32,1:29.33,102.4,-1:51.32,-1:57.83
38,6:00.11,1:30.03,101.6,-1:54.11,-1:58.53
37,6:03.00,1:30.75,100.8,-1:57.00,-1:59.25
36,6:06.00,1:31.50,100.0,0:00.00,0:00.00
35,6:09.11,1:32.28,99.2,0:03.11,0:00.78
34,6:12.33,1:33.08,98.3,0:06.33,0:01.58
33,6:15.68,1:33.92,97.4,0:09.68,0:02.42
32,6:19.16,1:34.79,96.5,0:13.16,0:03.29
31,6:22.79,1:35.70,95.6,0:16.79,0:04.20
30,6:26.58,1:36.64,94.7,0:20.58,0:05.14
29,6:30.53,1:37.63,93.7,0:24.53,0:06.13
28,6:34.66,1:38.67,92.7,0:28.66,0:07.17
27,6:38.99,1:39.75,91.7,0:32.99,0:08.25
26,6:43.53,1:40.88,90.7,0:37.53,0:09.38
25,6:48.31,1:42.08,89.6,0:42.31,0:10.58
24,6:53.34,1:43.34,88.5,0:47.34,0:11.84
23,6:58.65,1:44.66,87.4,0:52.65,0:13.16
22,7:04.27,1:46.07,86.3,0:58.27,0:14.57
21,7:10.24,1:47.56,85.1,1:04.24,0:16.06
20,7:16.58,1:49.14,83.8,1:10.58,0:17.64
19,7:23.35,1:50.84,82.6,1:17.35,0:19.34
18,7:30.60,1:52.65,81.2,1:24.60,0:21.15
17,7:38.39,1:54.60,79.8,1:32.39,0:23.10
16,7:46.81,1:56.70,78.4,1:40.81,0:25.20
