Rate,Overall_Time,500m_Split,WBT_Percentage,Time_Diff_vs_36,Split_Diff_vs_36
40,5:20.00,1:20.00,110.0,-1:28.00,-1:52.00
39,5:43.65,1:25.91,102.4,-1:51.65,-1:57.91
38,5:46.34,1:26.58,101.6,-1:54.34,-1:58.58
37,5:49.12,1:27.28,100.8,-1:57.12,-1:59.28
36,5:52.00,1:28.00,100.0,0:00.00,0:00.00
35,5:54.99,1:28.75,99.2,0:02.99,0:00.75
34,5:58.09,1:29.52,98.3,0:06.09,0:01.52
33,6:01.31,1:30.33,97.4,0:09.31,0:02.33
32,6:04.66,1:31.17,96.5,0:12.66,0:03.17
31,6:08.15,1:32.04,95.6,0:16.15,0:04.04
30,6:11.79,1:32.95,94.7,0:19.79,0:04.95
29,6:15.59,1:33.90,93.7,0:23.59,0:05.90
28,6:19.56,1:34.89,92.7,0:27.56,0:06.89
27,6:23.73,1:35.93,91.7,0:31.73,0:07.93
26,6:28.10,1:37.02,90.7,0:36.10,0:09.02
25,6:32.69,1:38.17,89.6,0:40.69,0:10.17
24,6:37.53,1:39.38,88.5,0:45.53,0:11.38
23,6:42.64,1:40.66,87.4,0:50.64,0:12.66
22,6:48.04,1:42.01,86.3,0:56.04,0:14.01
21,6:53.78,1:43.44,85.1,1:01.78,0:15.44
20,6:59.88,1:44.97,83.8,1:07.88,0:16.97
19,7:06.39,1:46.60,82.6,1:14.39,0:18.60
18,7:13.36,1:48.34,81.2,1:21.36,0:20.34
17,7:20.86,1:50.21,79.8,1:28.86,0:22.21
16,7:28.95,1:52.24,78.4,1:36.95,0:24.24
